x1,x2,x3,y1
0,0,0,35
0.0667,0,0,33.95059556
0.1333,0,0,32.93827556
0.2,0,0,31.96
0.2667,0,0,31.01731556
0.3333,0,0,30.11155556
0.4,0,0,29.24
0.4667,0,0,28.40403556
0.5333,0,0,27.60483556
0.6,0,0,26.84
0.6667,0,0,26.11075556
0.7333,0,0,25.41811556
0.8,0,0,24.76
0.8667,0,0,24.13747556
0.9333,0,0,23.55139556
1,0,0,23
0,0.0667,0,28.00611374
0.0667,0.0667,0,27.22244684
0.1333,0.0667,0,26.47546597
0.2,0.0667,0,25.76292795
0.2667,0.0667,0,25.08598104
0.3333,0.0667,0,24.44556018
0.4,0.0667,0,23.83974215
0.4667,0.0667,0,23.26951525
0.5333,0.0667,0,22.73565438
0.6,0.0667,0,22.23655636
0.6667,0.0667,0,21.77304946
0.7333,0.0667,0,21.34574859
0.8,0.0667,0,20.95337057
0.8667,0.0667,0,20.59658367
0.9333,0.0667,0,20.2758428
1,0.0667,0,19.99018478
0,0.1333,0,23.55788633
0.0667,0.1333,0,23.00166109
0.1333,0.1333,0,22.48178089
0.2,0.1333,0,21.99668454
0.2667,0.1333,0,21.5471793
0.3333,0.1333,0,21.1338591
0.4,0.1333,0,20.75548274
0.4667,0.1333,0,20.41269751
0.5333,0.1333,0,20.10593731
0.6,0.1333,0,19.83428095
0.6667,0.1333,0,19.59821572
0.7333,0.1333,0,19.39801552
0.8,0.1333,0,19.23307916
0.8667,0.1333,0,19.10373392
0.9333,0.1333,0,19.01009373
1,0.1333,0,18.95187737
0,0.2,0,20.9136
0.0667,0.2,0,20.54720356
0.1333,0.2,0,20.21686756
0.2,0.2,0,19.9216
0.2667,0.2,0,19.66192356
0.3333,0.2,0,19.43814756
0.4,0.2,0,19.2496
0.4667,0.2,0,19.09664356
0.5333,0.2,0,18.97942756
0.6,0.2,0,18.8976
0.6667,0.2,0,18.85136356
0.7333,0.2,0,18.84070756
0.8,0.2,0,18.8656
0.8667,0.2,0,18.92608356
0.9333,0.2,0,19.02198756
1,0.2,0,19.1536
0,0.2667,0,19.47388548
0.0667,0.2667,0,19.259335
0.1333,0.2667,0,19.08061729
0.2,0.2667,0,18.93719569
0.2667,0.2667,0,18.8293652
0.3333,0.2667,0,18.7572075
0.4,0.2667,0,18.7205059
0.4667,0.2667,0,18.71939541
0.5333,0.2667,0,18.75379771
0.6,0.2667,0,18.82381611
0.6667,0.2667,0,18.92942562
0.7333,0.2667,0,19.07038792
0.8,0.2667,0,19.24712631
0.8667,0.2667,0,19.45945583
0.9333,0.2667,0,19.70697813
1,0.2667,0,19.99043652
0,0.3333,0,18.75333338
0.0667,0.3333,0,18.65250372
0.1333,0.3333,0,18.58733636
0.2,0.3333,0,18.55763558
0.2667,0.3333,0,18.56352593
0.3333,0.3333,0,18.60491857
0.4,0.3333,0,18.68193779
0.4667,0.3333,0,18.79454814
0.5333,0.3333,0,18.94250077
0.6,0.3333,0,19.12624
0.6667,0.3333,0,19.34557035
0.7333,0.3333,0,19.60008298
0.8,0.3333,0,19.89054221
0.8667,0.3333,0,20.21659255
0.9333,0.3333,0,20.57766519
1,0.3333,0,20.97484442
0,0.4,0,18.3856
0.0667,0.4,0,18.36070756
0.1333,0.4,0,18.37136356
0.2,0.4,0,18.4176
0.2667,0.4,0,18.49942756
0.3333,0.4,0,18.61664356
0.4,0.4,0,18.7696
0.4667,0.4,0,18.95814756
0.5333,0.4,0,19.18192356
0.6,0.4,0,19.4416
0.6667,0.4,0,19.73686756
0.7333,0.4,0,20.06720356
0.8,0.4,0,20.4336
0.8667,0.4,0,20.83558756
0.9333,0.4,0,21.27248356
1,0.4,0,21.7456
0,0.4667,0,18.12907923
0.0667,0.4667,0,18.14214116
0.1333,0.4667,0,18.19069462
0.2,0.4667,0,18.27488544
0.2667,0.4667,0,18.39466737
0.3333,0.4667,0,18.54978083
0.4,0.4667,0,18.74069164
0.4667,0.4667,0,18.96719357
0.5333,0.4667,0,19.22886704
0.6,0.4667,0,19.52649785
0.6667,0.4667,0,19.85971978
0.7333,0.4667,0,20.22795325
0.8,0.4667,0,20.63230406
0.8667,0.4667,0,21.07224599
0.9333,0.4667,0,21.54703946
1,0.4667,0,22.05811027
0,0.5333,0,17.86267923
0.0667,0.5333,0,17.87574116
0.1333,0.5333,0,17.92429462
0.2,0.5333,0,18.00848544
0.2667,0.5333,0,18.12826737
0.3333,0.5333,0,18.28338083
0.4,0.5333,0,18.47429164
0.4667,0.5333,0,18.70079357
0.5333,0.5333,0,18.96246704
0.6,0.5333,0,19.26009785
0.6667,0.5333,0,19.59331978
0.7333,0.5333,0,19.96155325
0.8,0.5333,0,20.36590406
0.8667,0.5333,0,20.80584599
0.9333,0.5333,0,21.28063946
1,0.5333,0,21.79171027
0,0.6,0,17.5856
0.0667,0.6,0,17.56070756
0.1333,0.6,0,17.57136356
0.2,0.6,0,17.6176
0.2667,0.6,0,17.69942756
0.3333,0.6,0,17.81664356
0.4,0.6,0,17.9696
0.4667,0.6,0,18.15814756
0.5333,0.6,0,18.38192356
0.6,0.6,0,18.6416
0.6667,0.6,0,18.93686756
0.7333,0.6,0,19.26720356
0.8,0.6,0,19.6336
0.8667,0.6,0,20.03558756
0.9333,0.6,0,20.47248356
1,0.6,0,20.9456
0,0.6667,0,17.41973338
0.0667,0.6667,0,17.31890372
0.1333,0.6667,0,17.25373636
0.2,0.6667,0,17.22403558
0.2667,0.6667,0,17.22992593
0.3333,0.6667,0,17.27131857
0.4,0.6667,0,17.34833779
0.4667,0.6667,0,17.46094814
0.5333,0.6667,0,17.60890077
0.6,0.6667,0,17.79264
0.6667,0.6667,0,18.01197035
0.7333,0.6667,0,18.26648298
0.8,0.6667,0,18.55694221
0.8667,0.6667,0,18.88299255
0.9333,0.6667,0,19.24406519
1,0.6667,0,19.64124442
0,0.7333,0,17.60748548
0.0667,0.7333,0,17.392935
0.1333,0.7333,0,17.21421729
0.2,0.7333,0,17.07079569
0.2667,0.7333,0,16.9629652
0.3333,0.7333,0,16.8908075
0.4,0.7333,0,16.8541059
0.4667,0.7333,0,16.85299541
0.5333,0.7333,0,16.88739771
0.6,0.7333,0,16.95741611
0.6667,0.7333,0,17.06302562
